Site,Address,Zip,latitude,longitude,Phone,Program Start/End Date,Service Days ,Breakfast Time,Lunch Time
Start Right CDC,977 Caledonia Ave,44112,41.5334976,-81.5621339,,6/22/15 - 8/6/15,M-F,None,1:30 AM - 2:00 AM
City of Mansfield - North Lake,445 Bowman St,44903,40.7703285,-82.5237656,,6/22/15 - 8/14/15,M-F,None,12:00pm - 1:00pm
City of Mansfield - Ocie Hill ,445 Bowman St,44903,40.7703285,-82.5237656,,6/22/15 - 8/14/15,M-F,8:00am - 9:00am,12:00pm - 1:00pm
City of Mansfield - Prospect Park,445 Bowman St,44903,40.7703285,-82.5237656,,6/22/15 - 8/14/15,M-F,None,12:00pm - 1:00pm
Teach Me Childcare,540 Pearl St.,44902,40.7728386,-82.5052234,,6/8/15 - 8/28/15,M-F,8:30 AM - 9:30 AM,12:30 PM - 1:00 PM
The Basheer Jones Foundation,2357 Tremont Ave.,44113,41.4798662,-81.6870651,,6/22/15 - 8/14/15,M-F,8:30 AM - 9:30 AM,12:00 PM - 1:00 PM
The Church C.O.G.I.C.,7541 Kinsman Rd.,44104,41.4784966,-81.6347656,,6/8/15 - 8/14/15,M-F,None,11:30am - 1:00pm
True Faith Apostolic Bibleway Church,911 Maud Avenue,44103,41.529363,-81.6329529,,6/9/15 - 8/31/15,S,None,12:00 PM - 1:00 PM
City of Warrensville (Granada Gardens),4301 Warrensville Ctr Rd,44128,41.4426117,-81.536034,,6/10/15 - 8/13/15,W-R,None,12:00pm - 1:00pm
Urban Squash Cleveland,7100 Euclid Ave,44103,41.5030441,-81.6387024,,7/6/15 - 7/31/15,M-F,None,12:00PM - 1:00PM
Bethany Christian Church (Disciples of Christ),3940 MLK Dr,44105,41.4514871219190000,-81.6027351752000000,, 6/22/15 - 7/31/15 ,M-F,8:30 AM - 9:00 AM,12:30 PM - 1:00 AM
BGC - St. Luke's,2705 MLK Dr.,44104,41.4857424901353000,-81.6032542266000000,, 6/1/15 - 8/14/15 ,M-F,None,2:00pm - 3:00pm
BGC- King Kennedy,2561 E. 59th Street,44104,41.4886864867782000,-81.6488845938000000,, 6/8/15 - 8/31/15 ,M-F,None,2:30 PM - 3:30 PM
CPL - Addison Branch,6901 Superior Avenue,44103,41.5192524412635000,-81.6422481242000000,, 6/8/15 - 7/31/15 ,M-F,None,11:30 AM - 12:30 PM
CPL - FULTON BRANCH,3545 FULTON ROAD,44109,41.4579881025277000,-81.7129016288000000,, 6/9/15 - 7/31/15 ,M-S,None,11:30 AM - 12:30 PM
CPL - HARVARD LEE BRANCH,16918 HARVARD AVENUE,44128,41.4496773511172000,-81.5616168040000000,, 6/9/15 - 7/31/15 ,M-F,None,11:30 AM - 12:30 PM
CPL - LORAIN BRANCH,8216 LORAIN BLVD,44102,41.4707416809814000,-81.7416369205000000,, 6/9/15 - 7/31/15 ,M-F,None,11:30 AM - 12:30 PM
CPL - MAIN LIBRARY,325 SUPERIOR AVENUE,44114,41.5007677326631000,-81.6917821272000000,, 6/9/15 - 7/31/15 ,M-F,None,11:30 AM - 12:30 PM
FIFTH CHRISTIAN CHURCH,14109 BENWOOD AVENUE,44128,41.4509205284757000,-81.5839016316000000,, 6/22/15 - 8/14/15 ,M-F,9:00am - 9:45am,12noon - 1:00pm
Peace in Hood,13512 Kinsman Rd,44120,41.4652445313772000,-81.5883234062000000,, 6/15/15 - 8/6/15 ,M-R,8:00 AM - 9:00 AM,11:30 AM - 1:00 PM
Taskforce of Greater Cleveland (Carey West Apts.),8901 Detroit Ave.,44102,41.4802790739567000,-81.7452728979000000,, 6/15/15 - 8/21/15 ,M-F,None,12:00 noon - 1:00 P.M.
Three Crosses Methodist Church,12 Clevewland St.,44822,40.5869258464648000,-82.4246209837000000,, 6/8/15 - 7/31/15 ,"M,W,F",None,12:00 PM - 1:00 PM
